MA10,MA30,MA60,EMA10,EMA30,EMA60,RSI,Stochastic_K,Stochastic_D,Upper_Band,Middle_Band,Lower_Band,Conversion_Line,Base_Line,Leading_Span_A,Leading_Span_B,Lagging_Span,MACD_Line,Signal_Line,symbol,timeframe
0.8802885900062325,0.8761159460370447,0.8749769353255115,0.8829328434328332,0.8798062225768906,0.87898658347269,0.5710721039877404,0.7378378378378476,0.7101215429597484,0.8570339163611287,0.8814011505236365,0.8733761669655422,0.8766784233648881,0.8784745867640691,0.8525162874138417,0.8555402479826846,0.8905208590471467,0.645040217452946,0.6493160198702792,1.0,30.0
0.8839405005789622,0.8774425498448721,0.8756990589612794,0.8848296864089278,0.8810412527744678,0.8800279795871795,0.5244339965208961,0.9162162162162634,0.8021905548722384,0.8585845652217472,0.8823503004572579,0.8736611417422111,0.8858362725078894,0.8784745867640691,0.855254461335095,0.8555402479826846,0.8794124907430252,0.6499779869269718,0.6511612764735737,1.0,30.0
0.8858873379226111,0.8787561900975707,0.8761706034174441,0.8864744241910074,0.8822304548646933,0.8810532588079596,0.5429170203776587,0.9270270270270254,0.8631368801181569,0.8600067847835007,0.8831006419588423,0.8736936963144579,0.888187612152711,0.8784745867640691,0.8567337047178416,0.8555402479826846,0.8858306590965164,0.6535415312517718,0.6534536127767068,1.0,30.0
0.8868798432350591,0.8799056253186883,0.8768540011800017,0.8877273433928856,0.883309082979185,0.8820268950753878,0.7283512927134046,0.9162162162162634,0.9232158116203693,0.86039224226732,0.8832417318138361,0.8735839735403896,0.8884351215890085,0.8784745867640691,0.8630283574103821,0.8588860460539287,0.8797827696864964,0.6551523395373282,0.6556563927938203,1.0,30.0
0.8878087264120911,0.8809686368389702,0.877478171136465,0.8883117762047963,0.8841573286969453,0.8828829794465936,0.8130207154172878,0.8579545454545597,0.9035929236968608,0.861299215403136,0.8840818577686012,0.8742931473134181,0.8884351215890085,0.8784745867640691,0.8631857237276943,0.8588860460539287,0.8786719328560846,0.6536483939062466,0.6570741797609095,1.0,30.0
0.8889157515682857,0.882148320355375,0.8780453912793895,0.8891842437306163,0.885094716740527,0.8837876112528189,0.8121677470284424,0.8993902439024554,0.894284685695279,0.8606338611690685,0.8838702229861042,0.8745432840296363,0.8902914423612387,0.8784745867640691,0.8638151889969468,0.8590828577051788,0.8764502591952592,0.6534807947406933,0.6581700253927663,1.0,30.0
0.8892974843807657,0.8831205869897776,0.8786171674073966,0.8898284992868746,0.8859462396909592,0.8846490625689345,0.7213350371024367,0.8000000000000247,0.8551423515347473,0.8615153376204603,0.884986115475634,0.8758024556077881,0.8893014046160488,0.8784745867640691,0.8643187612123509,0.8590828577051788,0.8781782275981236,0.6522734663261096,0.6587701968007248,1.0,30.0
0.8894247286515906,0.8836132020845433,0.879478248588212,0.8902628421221692,0.8867089744166119,0.8854642423384096,0.631805819677078,0.718309859154956,0.8081091650067046,0.8619178050855467,0.8851720975572217,0.875761498917667,0.889487036693275,0.8784745867640691,0.864759386900829,0.8590828577051788,0.8776845223401626,0.650160862236688,0.6587665005370008,1.0,30.0
0.8903154385473773,0.8841533502147616,0.8805010672395035,0.8910588964315806,0.8875832939364088,0.8863383242979825,0.692642096485639,0.8478260869566442,0.7907420407998416,0.8628265546895317,0.8856081934726721,0.8756997817168468,0.8899820555658682,0.8784745867640691,0.8647908601642893,0.8590828577051788,0.8952110589977771,0.6497650012898195,0.6586728825522561,1.0,30.0
0.8910407308910901,0.8846632500496945,0.8813963183084557,0.8915478567364055,0.8883419660398353,0.887152200160573,0.6708462813435696,0.7971014492754719,0.7897657911443668,0.8627434506190799,0.8871281160015148,0.8786748050227722,0.890538951797538,0.8784745867640691,0.8695747962106193,0.8640687528701712,0.8637373488027631,0.6480034536607717,0.6581945545228063,1.0,30.0
0.8922877247451897,0.885471311652509,0.8822460095265647,0.8926205364340838,0.8892971131926544,0.8880700890672824,0.6363837862829314,0.8934426229508496,0.84875157975584,0.8603400744241956,0.8892957692283048,0.885160177311155,0.8941897159829217,0.8784745867640691,0.8696377427375452,0.8641343567539206,0.848926191063935,0.6489515399545099,0.6580290249770511,1.0,30.0
0.8925422132868448,0.8861972707395296,0.8829544652070798,0.8932198574181633,0.890089084167812,0.888903801532166,0.5793952588960388,0.7950819672132281,0.8309870368442165,0.8557775452100707,0.8912646140230525,0.8933862184463077,0.8941897159829217,0.8753791865288179,0.8781355238724711,0.8716131995014109,0.8537398173290534,0.6477300540811218,0.6576168538695276,1.0,30.0
0.8925549377139266,0.8867071705744607,0.8836925347906401,0.893362303398975,0.8907030180154578,0.8896425770076721,0.650936385166071,0.6638655462184686,0.7861123678054847,0.8545461220898023,0.8922522430080377,0.8964749582048093,0.8941897159829217,0.8753791865288179,0.8791111950398154,0.8716131995014109,0.8717600592446288,0.6445093858754721,0.6565495122311088,1.0,30.0
0.8928094262555817,0.886888660346214,0.8844237703965732,0.8938267576621666,0.8914042854536603,0.8904247324909047,0.665288570360715,0.7899159663866362,0.7512439551373321,0.8548509544824316,0.8928807341803022,0.8973722267159623,0.8948703669327394,0.8753791865288179,0.8791111950398154,0.8716131995014109,0.8764502591952592,0.6428920609549711,0.6553252354912208,1.0,30.0
0.8931657102138981,0.8875757287678567,0.8850752762635423,0.8939516334911648,0.8919672188656858,0.8911316686187885,0.668324065995818,0.6727272727273131,0.7100341438596505,0.854465045132093,0.893528464878246,0.8989840617708822,0.8948703669327394,0.8753791865288179,0.8791111950398154,0.8716131995014109,0.8516415699827178,0.6398341231275729,0.6536454782279915,1.0,30.0
0.8936365140159559,0.8875930135080257,0.8857723419813563,0.8946568443801173,0.8927138671845949,0.8919326035807114,0.5941593957340741,0.8630136986301328,0.7771084625988339,0.854306359610165,0.8943236986064171,0.9006536839093116,0.8948703669327394,0.8753791865288179,0.8779466842916968,0.8721380305714117,0.8426314490249318,0.6395463217330118,0.6522357594879099,1.0,30.0
0.8943363575055017,0.8885825648825953,0.8865104115649132,0.8955817426590613,0.8935392868701051,0.8927748805344127,0.6175723475196925,0.8764044943819692,0.8062383291016878,0.8552874861954542,0.8948688185007274,0.900728478782387,0.8959222820370023,0.877484058688788,0.8757120825858458,0.8781735878764056,0.8409034806220674,0.6402833860706929,0.651276788645662,1.0,30.0
